ENCFF855CJL	29.43211365
ENCFF873DWP	28.70893669
ENCFF774SBP	28.57696152
ENCFF859IBW	28.12768173
ENCFF581WZE	28.11366844
ENCFF276SZR	28.02043343
ENCFF293NBG	27.65699577
ENCFF385DEA	27.19268799
ENCFF461CDQ	27.15276718
ENCFF946AQO	27.10963821
ENCFF256IDG	26.88308525
ENCFF389VNZ	26.66380882
ENCFF332XCB	26.11273956
ENCFF867YFT	26.06742096
ENCFF726FED	25.39881706
ENCFF271ANK	25.10450745
ENCFF369CRG	24.16167068
ENCFF555ENQ	24.08683777
ENCFF890HSZ	23.39692497
ENCFF694RNX	22.76161194
ENCFF792NVL	22.63339424
ENCFF365LXQ	21.81753349
ENCFF135BMZ	21.74719048
ENCFF410CYG	21.48711967
ENCFF745RLH	20.61373901
ENCFF791FRX	19.82324982
ENCFF121CVF	19.08131981
ENCFF622JVD	19.0272522
ENCFF568EAH	18.07480049
ENCFF208JGB	17.49715233
ENCFF095HIQ	17.16607285
ENCFF401VUP	16.8648777
ENCFF540ITV	16.67946434
ENCFF848BGL	15.87225914
ENCFF882QOT	15.74378395
ENCFF124SMB	15.73513126
ENCFF073UDC	15.71222401
ENCFF233ORX	15.24182987
ENCFF547ZQF	14.95493603
ENCFF519PNO	14.76439476
ENCFF062BSK	14.54410744
ENCFF782PXH	14.51040459
ENCFF123CTY	14.30792522
ENCFF751LHL	14.01953602
ENCFF475NUL	13.62806034
ENCFF702IWR	13.48335266
ENCFF678EIG	13.40181732
ENCFF068ZBX	13.17918682
ENCFF141YBL	12.96626759
ENCFF367MHB	12.76137161
ENCFF950KRY	12.20086384
ENCFF049FUZ	11.90249252
ENCFF561DJM	10.92664528
ENCFF116YEY	10.8720665
ENCFF225GCE	10.29052448
ENCFF151SBP	9.847811699
ENCFF300WUQ	8.832678795
ENCFF080JZX	7.31262064
ENCFF037ZSW	6.832994938
ENCFF288HWP	5.80002594
ENCFF412KRU	5.076053143
ENCFF802LRO	3.873301029
ENCFF068YUS	3.723625183
ENCFF264JCE	3.562216043
ENCFF427FTE	2.796531677
ENCFF630MXI	2.791774273
ENCFF376RIO	2.785456657
ENCFF083ELT	2.764890671
ENCFF575XEK	2.733566999
ENCFF146VLD	2.419948339
ENCFF410TTD	2.387913227
ENCFF414NAA	2.154281616
ENCFF951HWM	1.915284038
ENCFF017NBX	1.721511722
ENCFF312ZWZ	1.695353031
ENCFF047HXB	1.517996907
ENCFF094FZF	1.459825039
ENCFF462ZLK	1.418494463
ENCFF766YIL	1.410479426
ENCFF871GME	1.067216039
ENCFF154NSS	1.057714343
ENCFF922TBR	0.6615758538
ENCFF069GRI	0.4362222254
